Cassette: ,300mm Blanket,,,
COLLECTION DATE/TIME: ,1/1/2016 10:33,,,
PROCESS DATE/TIME: ,220/0/2000  10:32:0,,,
EQUIPMENT: ,,,,
OPERATOR: ,operator,,,
SHIFT: ,,,,
MACHINE TYPE: ,KLA,,,
,,,,
,,,,
,,,,
WAFER ID,Slot01,,,
LOT ID,pre,,,
Cassette,Right,,,
SLOT,1,,,
STATUS,,,,
DATA TYPE,SE,,,
RECIPE,Native Oxide on Silicon,,,
RCP CNT,1,,,
MEAS SET,Measurement Results,,,
MATERIAL,"Thermal SiO2, Woollam",,,
SITE,1,,,
RESULT TYPE,1st Thickness,GOF ,,
% STDDEV,2.5699,0.044,,
STDDEV,0.2957,0.0004,,
3 % STDDEV,7.7098,0.1319,,
3 STDDEV,0.887,0.0013,,
RANGE,1.3134,0.0025,,
Site #,Value,Value, X , Y 
1,11.1041,0.9915,0,0
2,11.1826,0.9912,-0.0001,49
3,11.173,0.9916,-34.6483,34.648
4,11.2683,0.9914,-49,-0.0001
5,11.302,0.9912,-34.648,-34.6483
6,11.2988,0.9919,0.0001,-49
7,11.2672,0.9911,34.6483,-34.648
8,11.1524,0.9912,49,0.0001
9,11.1767,0.9912,34.648,34.6483
10,11.3367,0.991,-0.0003,98
11,11.2142,0.9918,-37.5034,90.5401
12,11.1918,0.9917,-69.2967,69.2962
13,11.2782,0.9916,-90.5404,37.5026
14,11.347,0.9913,-98,-0.0004
15,11.2629,0.9914,-90.5401,-37.5034
16,11.3765,0.9912,-69.2962,-69.2967
17,11.3606,0.9913,-37.5026,-90.5404
18,11.5303,0.9897,0.0004,-98
19,11.2987,0.991,37.5034,-90.5401
20,11.2787,0.991,69.2968,-69.2962
21,11.2104,0.9912,90.5404,-37.5026
22,11.2197,0.9915,98,0.0004
23,11.2409,0.9912,90.5401,37.5034
24,11.1619,0.9915,69.2961,69.2968
25,11.736,0.9895,37.5026,90.5404
26,11.5427,0.9914,-0.0006,147
27,11.6225,0.9918,-38.047,141.991
28,11.5627,0.9917,-73.5004,127.3055
29,11.497,0.9917,-103.945,103.9443
30,11.6744,0.9916,-127.306,73.4996
31,11.643,0.9915,-141.9913,38.0458
32,11.7219,0.9913,-147,-0.0006
33,11.7798,0.9914,-141.991,-38.047
34,11.8443,0.9909,-127.3054,-73.5004
35,11.7564,0.9913,-103.9443,-103.9452
36,11.8856,0.991,-73.4994,-127.306
37,12.234,0.9909,-38.0458,-141.9913
38,12.4175,0.9909,0.0006,-147
39,12.1365,0.9909,38.047,-141.991
40,11.7514,0.991,73.5006,-127.3054
41,11.656,0.9911,103.9452,-103.9443
42,11.6643,0.9912,127.3061,-73.4994
43,11.5768,0.9913,141.9913,-38.0458
44,11.64,0.9913,147,0.0006
45,11.6338,0.9913,141.991,38.047
46,11.7245,0.9915,127.3054,73.5006
47,11.637,0.9913,103.9443,103.9452
48,11.6076,0.9916,73.4994,127.3061
49,11.5858,0.9908,38.0458,141.9913
,,,,
WAFER ID,Slot04,,,
LOT ID,pre,,,
Cassette,Right,,,
SLOT,4,,,
STATUS,,,,
DATA TYPE,SE,,,
RECIPE,Native Oxide on Silicon,,,
RCP CNT,1,,,
MEAS SET,Measurement Results,,,
MATERIAL,"Thermal SiO2, Woollam",,,
SITE,1,,,
RESULT TYPE,1st Thickness,GOF ,,
MEAN,11.5142,0.9912,,
MIN,11.0993,0.9896,,
MAX,12.3593,0.992,,
% STDDEV,2.5966,0.0433,,
STDDEV,0.299,0.0004,,
3 % STDDEV,7.7897,0.1298,,
3 STDDEV,0.8969,0.0013,,
RANGE,1.2599,0.0024,,
Site #,Value,Value, X , Y 
